State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,282351,0,1276669,23016,889,29103,172,2594
Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,282351,0,1276669,23016,889,29103,172,2594
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,284357,0,779243,8360,996,150969,171,1172
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,284357,0,779243,8360,996,150969,171,1172
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,284357,0,779243,8360,996,150969,171,1172
Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,387381,0,940255,9524,2186,338962,370,2256
Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,387381,0,940255,9524,2186,338962,370,2256
Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,387381,0,940255,9524,2186,338962,370,2256
Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,408785,0,1701061,21650,1945,12270,334,3620
Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,408785,0,1701061,21650,1945,12270,334,3620
Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,408785,0,1701061,21650,1945,12270,334,3620
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,341162,0,1611031,15515,873,2401,254,1016
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,341162,0,1611031,15515,873,2401,254,1016
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,341162,0,1611031,15515,873,2401,254,1016
Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,568479,492725,747582,216889,0,1043887,8185,732,3916,200,3491
Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,568479,492725,747582,216889,0,1043887,8185,732,3916,200,3491
Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,568479,492725,747582,216889,0,1043887,8185,732,3916,200,3491
Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,514667,443738,676091,170448,0,945693,8247,734,1042,105,645
Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,514667,443738,676091,170448,0,945693,8247,734,1042,105,645
Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,514667,443738,676091,170448,0,945693,8247,734,1042,105,645
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,486665,435423,630255,156314,0,913251,5660,301,1737,75,644
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,486665,435423,630255,156314,0,913251,5660,301,1737,75,644
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,486665,435423,630255,156314,0,913251,5660,301,1737,75,644
Haryana,Rewari,28.19164714828897,76.55956007604564,900332,474335,425997,636947,182606,0,889133,5713,701,1804,202,1525
Haryana,Rewari,28.19164714828897,76.55956007604564,900332,474335,425997,636947,182606,0,889133,5713,701,1804,202,1525
Haryana,Rewari,28.19164714828897,76.55956007604564,900332,474335,425997,636947,182606,0,889133,5713,701,1804,202,1525
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,816690,697742,1111116,197937,0,1408801,70842,9725,15097,944,7451
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,816690,697742,1111116,197937,0,1408801,70842,9725,15097,944,7451
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,816690,697742,1111116,197937,0,1408801,70842,9725,15097,944,7451
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,966110,843623,1272739,223799,0,1588407,161680,9743,34572,640,4883
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,966110,843623,1272739,223799,0,1588407,161680,9743,34572,640,4883
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,966110,843623,1272739,223799,0,1588407,161680,9743,34572,640,4883
Sikkim,East,27.29600352941175,88.74908392156858,1709346,907500,801846,1352998,281422,0,1410852,178807,15792,53027,2643,46927
Sikkim,East,27.29600352941175,88.74908392156858,1709346,907500,801846,1352998,281422,0,1410852,178807,15792,53027,2643,46927
Sikkim,East,27.29600352941175,88.74908392156858,1709346,907500,801846,1352998,281422,0,1410852,178807,15792,53027,2643,46927
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,1969168,1043340,925828,1193343,720412,13477,1437144,50688,2077,474853,938,1988
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,1969168,1043340,925828,1193343,720412,13477,1437144,50688,2077,474853,938,1988
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,1969168,1043340,925828,1193343,720412,13477,1437144,50688,2077,474853,938,1988
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,1774692,931184,843508,1034136,494189,14289,1433067,118673,1542,216997,241,1935
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,1774692,931184,843508,1034136,494189,14289,1433067,118673,1542,216997,241,1935
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,1774692,931184,843508,1034136,494189,14289,1433067,118673,1542,216997,241,1935
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,2363937,1240801,1123136,1278801,493646,7779,2073356,235741,1901,20072,285,30850
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,2363937,1240801,1123136,1278801,493646,7779,2073356,235741,1901,20072,285,30850
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,2363937,1240801,1123136,1278801,493646,7779,2073356,235741,1901,20072,285,30850
Rajasthan,Churu,28.29330375536484,74.65846427038629,2039547,1051446,988101,1149269,451721,11245,1777879,249736,958,402,188,7104
Rajasthan,Churu,28.29330375536484,74.65846427038629,2039547,1051446,988101,1149269,451721,11245,1777879,249736,958,402,188,7104
Rajasthan,Churu,28.29330375536484,74.65846427038629,2039547,1051446,988101,1149269,451721,11245,1777879,249736,958,402,188,7104
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,2137045,1095896,1041149,1370360,360709,41629,1905682,228178,1004,275,56,548
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,2137045,1095896,1041149,1370360,360709,41629,1905682,228178,1004,275,56,548
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,2137045,1095896,1041149,1370360,360709,41629,1905682,228178,1004,275,56,548
